t,hip_L.q,abduct_L.q,hip_R.q,abduct_R.q
0.000000,0.533349469,0.000000000,-0.018963839,0.000000000
0.001000,0.533161641,-0.000000436,-0.017907560,-0.000002049
0.002000,0.532973994,-0.000001739,-0.016850068,-0.000008127
0.003000,0.532786647,-0.000003899,-0.015790637,-0.000018112
0.004000,0.532599712,-0.000006907,-0.014728570,-0.000031884
0.005000,0.532413296,-0.000010753,-0.013663201,-0.000049330
0.006000,0.532227499,-0.000015427,-0.012593891,-0.000070337
0.007000,0.532042419,-0.000020919,-0.011520026,-0.000094797
0.008000,0.531858145,-0.000027217,-0.010441020,-0.000122605
0.009000,0.531674765,-0.000034311,-0.009356311,-0.000153658
0.010000,0.531492359,-0.000042190,-0.008265362,-0.000187857
0.011000,0.531311003,-0.000050842,-0.007167660,-0.000225106
0.012000,0.531130770,-0.000060256,-0.006062713,-0.000265311
0.013000,0.530951727,-0.000070421,-0.004950052,-0.000308380
0.014000,0.530773938,-0.000081323,-0.003829230,-0.000354227
0.015000,0.530597460,-0.000092952,-0.002699819,-0.000402764
0.016000,0.530422350,-0.000105294,-0.001561413,-0.000453908
0.017000,0.530248658,-0.000118338,-0.000413623,-0.000507578
0.018000,0.530076431,-0.000132071,0.000743919,-0.000563696
0.019000,0.529905713,-0.000146480,0.001911564,-0.000622185
0.020000,0.529736542,-0.000161553,0.003089647,-0.000682970
0.021000,0.529568955,-0.000177276,0.004278484,-0.000745979
0.022000,0.529402985,-0.000193636,0.005478375,-0.000811143
0.023000,0.529238661,-0.000210622,0.006689604,-0.000878391
0.024000,0.529076009,-0.000228218,0.007912442,-0.000947659
0.025000,0.528915051,-0.000246413,0.009147142,-0.001018882
0.026000,0.528755808,-0.000265193,0.010393944,-0.001091996
0.027000,0.528598295,-0.000284545,0.011653074,-0.001166941
0.028000,0.528442526,-0.000304455,0.012924746,-0.001243658
0.029000,0.528288513,-0.000324911,0.014209158,-0.001322088
0.030000,0.528136262,-0.000345898,0.015506499,-0.001402175
0.031000,0.527985780,-0.000367403,0.016816942,-0.001483865
0.032000,0.527837069,-0.000389413,0.018140652,-0.001567105
0.033000,0.527690128,-0.000411915,0.019477780,-0.001651843
0.034000,0.527544956,-0.000434895,0.020828467,-0.001738028
0.035000,0.527401547,-0.000458339,0.022192844,-0.001825612
0.036000,0.527259893,-0.000482235,0.023571029,-0.001914547
0.037000,0.527119986,-0.000506568,0.024963133,-0.002004786
0.038000,0.526981812,-0.000531326,0.026369257,-0.002096285
0.039000,0.526845359,-0.000556495,0.027789491,-0.002188999
0.040000,0.526710608,-0.000582062,0.029223917,-0.002282886
0.041000,0.526577543,-0.000608014,0.030672608,-0.002377904
0.042000,0.526446141,-0.000634337,0.032135628,-0.002474011
0.043000,0.526316381,-0.000661019,0.033613035,-0.002571170
0.044000,0.526188239,-0.000688045,0.035104877,-0.002669340
0.045000,0.526061687,-0.000715404,0.036611195,-0.002768485
0.046000,0.525936697,-0.000743082,0.038132022,-0.002868568
0.047000,0.525813240,-0.000771066,0.039667384,-0.002969552
0.048000,0.525691283,-0.000799343,0.041217301,-0.003071405
0.049000,0.525570793,-0.000827901,0.042781786,-0.003174090
0.050000,0.525451735,-0.000856727,0.044360844,-0.003277576
0.051000,0.525334071,-0.000885808,0.045954476,-0.003381829
0.052000,0.525217763,-0.000915131,0.047562676,-0.003486819
0.053000,0.525102772,-0.000944685,0.049185430,-0.003592515
0.054000,0.524989055,-0.000974457,0.050822722,-0.003698886
0.055000,0.524876569,-0.001004434,0.052474527,-0.003805904
0.056000,0.524765271,-0.001034604,0.054140818,-0.003913539
0.057000,0.524655114,-0.001064956,0.055821560,-0.004021764
0.058000,0.524546050,-0.001095477,0.057516716,-0.004130551
0.059000,0.524438032,-0.001126155,0.059226240,-0.004239874
0.060000,0.524331009,-0.001156979,0.060950084,-0.004349706
0.061000,0.524224931,-0.001187936,0.062688197,-0.004460022
0.062000,0.524119744,-0.001219016,0.064440520,-0.004570798
0.063000,0.524015396,-0.001250206,0.066206993,-0.004682007
0.064000,0.523911831,-0.001281495,0.067987549,-0.004793628
0.065000,0.523808994,-0.001312873,0.069782119,-0.004905636
0.066000,0.523706827,-0.001344327,0.071590630,-0.005018008
0.067000,0.523605272,-0.001375847,0.073413004,-0.005130723
0.068000,0.523504271,-0.001407421,0.075249162,-0.005243757
0.069000,0.523403763,-0.001439040,0.077099019,-0.005357090
0.070000,0.523303686,-0.001470692,0.078962487,-0.005470700
0.071000,0.523203980,-0.001502366,0.080839477,-0.005584567
0.072000,0.523104579,-0.001534053,0.082729893,-0.005698670
0.073000,0.523005422,-0.001565741,0.084633640,-0.005812989
0.074000,0.522906441,-0.001597421,0.086550618,-0.005927506
0.075000,0.522807573,-0.001629082,0.088480723,-0.006042200
0.076000,0.522708749,-0.001660714,0.090423851,-0.006157053
0.077000,0.522609903,-0.001692308,0.092379894,-0.006272046
0.078000,0.522510966,-0.001723854,0.094348740,-0.006387162
0.079000,0.522411870,-0.001755342,0.096330278,-0.006502381
0.080000,0.522312543,-0.001786762,0.098324392,-0.006617688
0.081000,0.522212917,-0.001818106,0.100330963,-0.006733064
0.082000,0.522112919,-0.001849363,0.102349873,-0.006848492
0.083000,0.522012478,-0.001880525,0.104380999,-0.006963955
0.084000,0.521911520,-0.001911583,0.106424217,-0.007079438
0.085000,0.521809973,-0.001942527,0.108479400,-0.007194924
0.086000,0.521707763,-0.001973350,0.110546421,-0.007310397
0.087000,0.521604815,-0.002004041,0.112625150,-0.007425840
0.088000,0.521501055,-0.002034594,0.114715454,-0.007541239
0.089000,0.521396405,-0.002064998,0.116817201,-0.007656579
0.090000,0.521290791,-0.002095247,0.118930256,-0.007771843
0.091000,0.521184136,-0.002125332,0.121054481,-0.007887017
0.092000,0.521076362,-0.002155245,0.123189738,-0.008002087
0.093000,0.520967391,-0.002184977,0.125335887,-0.008117038
0.094000,0.520857146,-0.002214521,0.127492787,-0.008231855
0.095000,0.520745547,-0.002243870,0.129660296,-0.008346525
0.096000,0.520632516,-0.002273016,0.131838269,-0.008461032
0.097000,0.520517973,-0.002301951,0.134026561,-0.008575364
0.098000,0.520401839,-0.002330668,0.136225025,-0.008689507
0.099000,0.520284032,-0.002359160,0.138433514,-0.008803447
0.100000,0.520164472,-0.002387420,0.140651879,-0.008917170
0.101000,0.520043078,-0.002415441,0.142879970,-0.009030664
0.102000,0.519919769,-0.002443215,0.145117635,-0.009143915
0.103000,0.519794464,-0.002470737,0.147364724,-0.009256910
0.104000,0.519667079,-0.002497999,0.149621082,-0.009369636
0.105000,0.519537534,-0.002524995,0.151886555,-0.009482081
0.106000,0.519405744,-0.002551719,0.154160990,-0.009594232
0.107000,0.519271629,-0.002578164,0.156444230,-0.009706077
0.108000,0.519135104,-0.002604325,0.158736119,-0.009817602
0.109000,0.518996087,-0.002630195,0.161036499,-0.009928796
0.110000,0.518854494,-0.002655768,0.163345212,-0.010039646
0.111000,0.518710241,-0.002681038,0.165662101,-0.010150140
0.112000,0.518563244,-0.002706000,0.167987004,-0.010260267
0.113000,0.518413421,-0.002730649,0.170319763,-0.010370014
0.114000,0.518260686,-0.002754977,0.172660217,-0.010479370
0.115000,0.518104956,-0.002778981,0.175008204,-0.010588323
0.116000,0.517946145,-0.002802655,0.177363563,-0.010696861
0.117000,0.517784171,-0.002825993,0.179726131,-0.010804972
0.118000,0.517618947,-0.002848991,0.182095747,-0.010912646
0.119000,0.517450390,-0.002871644,0.184472245,-0.011019870
0.120000,0.517278415,-0.002893946,0.186855464,-0.011126634
0.121000,0.517102938,-0.002915893,0.189245239,-0.011232926
0.122000,0.516923873,-0.002937481,0.191641405,-0.011338735
0.123000,0.516741136,-0.002958704,0.194043798,-0.011444050
0.124000,0.516554642,-0.002979558,0.196452253,-0.011548860
0.125000,0.516364307,-0.003000039,0.198866605,-0.011653154
0.126000,0.516170045,-0.003020143,0.201286688,-0.011756921
0.127000,0.515971773,-0.003039864,0.203712335,-0.011860151
0.128000,0.515769406,-0.003059200,0.206143382,-0.011962832
0.129000,0.515562858,-0.003078146,0.208579662,-0.012064955
0.130000,0.515352047,-0.003096699,0.211021009,-0.012166508
0.131000,0.515136887,-0.003114853,0.213467255,-0.012267481
0.132000,0.514917294,-0.003132606,0.215918235,-0.012367864
0.133000,0.514693184,-0.003149954,0.218373781,-0.012467646
0.134000,0.514464473,-0.003166894,0.220833727,-0.012566816
0.135000,0.514231078,-0.003183421,0.223297906,-0.012665366
0.136000,0.513992915,-0.003199532,0.225766151,-0.012763284
0.137000,0.513749900,-0.003215225,0.228238294,-0.012860561
0.138000,0.513501950,-0.003230495,0.230714170,-0.012957186
0.139000,0.513248982,-0.003245340,0.233193611,-0.013053149
0.140000,0.512990913,-0.003259757,0.235676449,-0.013148441
0.141000,0.512727661,-0.003273742,0.238162520,-0.013243052
0.142000,0.512459142,-0.003287292,0.240651654,-0.013336972
0.143000,0.512185276,-0.003300405,0.243143687,-0.013430192
0.144000,0.511905979,-0.003313078,0.245638451,-0.013522701
0.145000,0.511621171,-0.003325308,0.248135780,-0.013614491
0.146000,0.511330770,-0.003337093,0.250635508,-0.013705551
0.147000,0.511034695,-0.003348429,0.253137468,-0.013795872
0.148000,0.510732865,-0.003359315,0.255641495,-0.013885446
0.149000,0.510425200,-0.003369747,0.258147424,-0.013974263
0.150000,0.510111620,-0.003379724,0.260655087,-0.014062313
0.151000,0.509792045,-0.003389243,0.263164321,-0.014149587
0.152000,0.509466396,-0.003398302,0.265674961,-0.014236078
0.153000,0.509134593,-0.003406899,0.268186840,-0.014321775
0.154000,0.508796559,-0.003415030,0.270699797,-0.014406669
0.155000,0.508452215,-0.003422696,0.273213665,-0.014490753
0.156000,0.508101482,-0.003429892,0.275728281,-0.014574016
0.157000,0.507744284,-0.003436619,0.278243482,-0.014656452
0.158000,0.507380544,-0.003442872,0.280759104,-0.014738050
0.159000,0.507010185,-0.003448651,0.283274986,-0.014818803
0.160000,0.506633131,-0.003453954,0.285790963,-0.014898702
0.161000,0.506249307,-0.003458779,0.288306875,-0.014977739
0.162000,0.505858637,-0.003463124,0.290822560,-0.015055905
0.163000,0.505461046,-0.003466988,0.293337856,-0.015133193
0.164000,0.505056461,-0.003470369,0.295852603,-0.015209595
0.165000,0.504644808,-0.003473266,0.298366640,-0.015285102
0.166000,0.504226013,-0.003475676,0.300879807,-0.015359707
0.167000,0.503800004,-0.003477599,0.303391946,-0.015433402
0.168000,0.503366708,-0.003479033,0.305902897,-0.015506178
0.169000,0.502926055,-0.003479977,0.308412501,-0.015578030
0.170000,0.502477974,-0.003480429,0.310920601,-0.015648948
0.171000,0.502022393,-0.003480388,0.313427040,-0.015718927
0.172000,0.501559243,-0.003479853,0.315931660,-0.015787957
0.173000,0.501088454,-0.003478822,0.318434306,-0.015856033
0.174000,0.500609959,-0.003477295,0.320934821,-0.015923148
0.175000,0.500123689,-0.003475270,0.323433050,-0.015989293
0.176000,0.499629576,-0.003472746,0.325928839,-0.016054462
0.177000,0.499127554,-0.003469723,0.328422034,-0.016118649
0.178000,0.498617556,-0.003466198,0.330912482,-0.016181847
0.179000,0.498099517,-0.003462171,0.333400029,-0.016244048
0.180000,0.497573372,-0.003457642,0.335884524,-0.016305248
0.181000,0.497039058,-0.003452609,0.338365814,-0.016365438
0.182000,0.496496509,-0.003447070,0.340843750,-0.016424614
0.183000,0.495945664,-0.003441027,0.343318181,-0.016482769
0.184000,0.495386461,-0.003434476,0.345788958,-0.016539896
0.185000,0.494818837,-0.003427419,0.348255932,-0.016595990
0.186000,0.494242732,-0.003419853,0.350718954,-0.016651046
0.187000,0.493658087,-0.003411779,0.353177879,-0.016705057
0.188000,0.493064842,-0.003403195,0.355632557,-0.016758018
0.189000,0.492462937,-0.003394100,0.358082845,-0.016809923
0.190000,0.491852317,-0.003384495,0.360528597,-0.016860767
0.191000,0.491232923,-0.003374378,0.362969668,-0.016910545
0.192000,0.490604700,-0.003363749,0.365405915,-0.016959252
0.193000,0.489967591,-0.003352607,0.367837195,-0.017006883
0.194000,0.489321542,-0.003340951,0.370263366,-0.017053432
