t,hip_L.q,abduct_L.q,hip_R.q,abduct_R.q
0.000000,0.392818833,0.000000000,-0.153395545,0.000000000
0.001000,0.392650296,0.000000103,-0.152149307,-0.000002540
0.002000,0.392481952,0.000000405,-0.150901588,-0.000010073
0.003000,0.392313953,0.000000894,-0.149651497,-0.000022450
0.004000,0.392146443,0.000001558,-0.148398176,-0.000039525
0.005000,0.391979560,0.000002389,-0.147140808,-0.000061158
0.006000,0.391813432,0.000003375,-0.145878608,-0.000087213
0.007000,0.391648181,0.000004508,-0.144610825,-0.000117556
0.008000,0.391483923,0.000005778,-0.143336741,-0.000152059
0.009000,0.391320765,0.000007178,-0.142055669,-0.000190598
0.010000,0.391158810,0.000008699,-0.140766954,-0.000233050
0.011000,0.390998152,0.000010336,-0.139469969,-0.000279300
0.012000,0.390838880,0.000012080,-0.138164118,-0.000329232
0.013000,0.390681077,0.000013927,-0.136848830,-0.000382737
0.014000,0.390524819,0.000015869,-0.135523563,-0.000439706
0.015000,0.390370178,0.000017902,-0.134187799,-0.000500036
0.016000,0.390217219,0.000020021,-0.132841048,-0.000563625
0.017000,0.390066002,0.000022221,-0.131482842,-0.000630376
0.018000,0.389916581,0.000024498,-0.130112737,-0.000700192
0.019000,0.389769006,0.000026848,-0.128730312,-0.000772982
0.020000,0.389623320,0.000029268,-0.127335170,-0.000848655
0.021000,0.389479564,0.000031754,-0.125926932,-0.000927125
0.022000,0.389337772,0.000034305,-0.124505242,-0.001008306
0.023000,0.389197973,0.000036917,-0.123069763,-0.001092117
0.024000,0.389060193,0.000039588,-0.121620179,-0.001178477
0.025000,0.388924453,0.000042317,-0.120156190,-0.001267309
0.026000,0.388790770,0.000045101,-0.118677518,-0.001358538
0.027000,0.388659155,0.000047940,-0.117183899,-0.001452090
0.028000,0.388529618,0.000050833,-0.115675087,-0.001547894
0.029000,0.388402162,0.000053778,-0.114150854,-0.001645881
0.030000,0.388276787,0.000056775,-0.112610988,-0.001745984
0.031000,0.388153491,0.000059823,-0.111055289,-0.001848137
0.032000,0.388032266,0.000062923,-0.109483576,-0.001952278
0.033000,0.387913102,0.000066074,-0.107895680,-0.002058345
0.034000,0.387795985,0.000069277,-0.106291447,-0.002166277
0.035000,0.387680896,0.000072532,-0.104670737,-0.002276016
0.036000,0.387567815,0.000075840,-0.103033422,-0.002387506
0.037000,0.387456718,0.000079201,-0.101379388,-0.002500692
0.038000,0.387347577,0.000082617,-0.099708532,-0.002615520
0.039000,0.387240362,0.000086089,-0.098020763,-0.002731937
0.040000,0.387135040,0.000089617,-0.096316003,-0.002849894
0.041000,0.387031575,0.000093203,-0.094594184,-0.002969340
0.042000,0.386929926,0.000096849,-0.092855248,-0.003090228
0.043000,0.386830053,0.000100556,-0.091099149,-0.003212511
0.044000,0.386731910,0.000104327,-0.089325851,-0.003336143
0.045000,0.386635450,0.000108162,-0.087535327,-0.003461080
0.046000,0.386540624,0.000112064,-0.085727560,-0.003587278
0.047000,0.386447379,0.000116035,-0.083902542,-0.003714696
0.048000,0.386355660,0.000120078,-0.082060273,-0.003843292
0.049000,0.386265411,0.000124194,-0.080200764,-0.003973026
0.050000,0.386176570,0.000128386,-0.078324032,-0.004103860
0.051000,0.386089078,0.000132656,-0.076430103,-0.004235754
0.052000,0.386002870,0.000137007,-0.074519010,-0.004368673
0.053000,0.385917879,0.000141441,-0.072590795,-0.004502579
0.054000,0.385834039,0.000145961,-0.070645506,-0.004637437
0.055000,0.385751277,0.000150570,-0.068683199,-0.004773213
0.056000,0.385669524,0.000155271,-0.066703936,-0.004909872
0.057000,0.385588703,0.000160065,-0.064707787,-0.005047383
0.058000,0.385508740,0.000164957,-0.062694826,-0.005185711
0.059000,0.385429557,0.000169949,-0.060665135,-0.005324826
0.060000,0.385351074,0.000175044,-0.058618803,-0.005464697
0.061000,0.385273209,0.000180245,-0.056555921,-0.005605293
0.062000,0.385195881,0.000185555,-0.054476590,-0.005746585
0.063000,0.385119004,0.000190977,-0.052380913,-0.005888543
0.064000,0.385042493,0.000196515,-0.050269000,-0.006031140
0.065000,0.384966259,0.000202170,-0.048140967,-0.006174348
0.066000,0.384890214,0.000207947,-0.045996932,-0.006318138
0.067000,0.384814267,0.000213848,-0.043837020,-0.006462484
0.068000,0.384738325,0.000219877,-0.041661360,-0.006607361
0.069000,0.384662297,0.000226037,-0.039470085,-0.006752741
0.070000,0.384586086,0.000232330,-0.037263333,-0.006898599
0.071000,0.384509598,0.000238761,-0.035041246,-0.007044911
