t,hip_L.q,abduct_L.q,hip_R.q,abduct_R.q
0.000000,0.836140082,0.000000000,0.150967844,0.000000000
0.001000,0.835564400,-0.000001530,0.151839568,-0.000001406
0.002000,0.834988928,-0.000006087,0.152712300,-0.000005575
0.003000,0.834413801,-0.000013625,0.153586629,-0.000012415
0.004000,0.833839149,-0.000024093,0.154463122,-0.000021837
0.005000,0.833265097,-0.000037445,0.155342322,-0.000033757
0.006000,0.832691766,-0.000053632,0.156224754,-0.000048092
0.007000,0.832119273,-0.000072606,0.157110918,-0.000064762
0.008000,0.831547730,-0.000094319,0.158001298,-0.000083687
0.009000,0.830977243,-0.000118724,0.158896357,-0.000104794
0.010000,0.830407918,-0.000145774,0.159796540,-0.000128007
0.011000,0.829839854,-0.000175420,0.160702274,-0.000153256
0.012000,0.829273147,-0.000207616,0.161613969,-0.000180472
0.013000,0.828707889,-0.000242315,0.162532017,-0.000209588
0.014000,0.828144170,-0.000279471,0.163456794,-0.000240538
0.015000,0.827582074,-0.000319036,0.164388662,-0.000273259
0.016000,0.827021684,-0.000360965,0.165327967,-0.000307690
0.017000,0.826463077,-0.000405212,0.166275039,-0.000343772
0.018000,0.825906330,-0.000451731,0.167230196,-0.000381446
0.019000,0.825351514,-0.000500477,0.168193739,-0.000420657
0.020000,0.824798699,-0.000551404,0.169165960,-0.000461350
0.021000,0.824247951,-0.000604468,0.170147135,-0.000503471
0.022000,0.823699334,-0.000659624,0.171137529,-0.000546970
0.023000,0.823152908,-0.000716828,0.172137395,-0.000591798
0.024000,0.822608731,-0.000776036,0.173146973,-0.000637904
0.025000,0.822066859,-0.000837203,0.174166494,-0.000685243
0.026000,0.821527343,-0.000900287,0.175196175,-0.000733768
0.027000,0.820990236,-0.000965245,0.176236227,-0.000783436
0.028000,0.820455584,-0.001032033,0.177286847,-0.000834203
0.029000,0.819923434,-0.001100610,0.178348223,-0.000886028
0.030000,0.819393827,-0.001170932,0.179420535,-0.000938869
0.031000,0.818866807,-0.001242960,0.180503953,-0.000992688
0.032000,0.818342410,-0.001316650,0.181598638,-0.001047446
0.033000,0.817820675,-0.001391962,0.182704742,-0.001103105
0.034000,0.817301636,-0.001468855,0.183822409,-0.001159630
0.035000,0.816785325,-0.001547288,0.184951776,-0.001216985
0.036000,0.816271774,-0.001627223,0.186092971,-0.001275137
0.037000,0.815761011,-0.001708618,0.187246114,-0.001334052
0.038000,0.815253064,-0.001791434,0.188411321,-0.001393697
0.039000,0.814747958,-0.001875633,0.189588696,-0.001454042
0.040000,0.814245716,-0.001961176,0.190778341,-0.001515056
0.041000,0.813746360,-0.002048024,0.191980348,-0.001576709
0.042000,0.813249911,-0.002136140,0.193194805,-0.001638973
0.043000,0.812756386,-0.002225487,0.194421792,-0.001701819
0.044000,0.812265804,-0.002316026,0.195661384,-0.001765221
0.045000,0.811778179,-0.002407721,0.196913651,-0.001829152
0.046000,0.811293525,-0.002500536,0.198178656,-0.001893586
0.047000,0.810811855,-0.002594435,0.199456458,-0.001958498
0.048000,0.810333180,-0.002689381,0.200747109,-0.002023864
0.049000,0.809857510,-0.002785340,0.202050658,-0.002089661
0.050000,0.809384853,-0.002882278,0.203367149,-0.002155865
0.051000,0.808915216,-0.002980158,0.204696619,-0.002222454
0.052000,0.808448604,-0.003078947,0.206039102,-0.002289406
0.053000,0.807985023,-0.003178612,0.207394629,-0.002356700
0.054000,0.807524475,-0.003279118,0.208763225,-0.002424316
0.055000,0.807066962,-0.003380433,0.210144911,-0.002492233
0.056000,0.806612486,-0.003482524,0.211539705,-0.002560432
0.057000,0.806161046,-0.003585360,0.212947619,-0.002628894
0.058000,0.805712640,-0.003688907,0.214368664,-0.002697600
0.059000,0.805267266,-0.003793134,0.215802846,-0.002766533
0.060000,0.804824921,-0.003898011,0.217250168,-0.002835675
0.061000,0.804385600,-0.004003507,0.218710628,-0.002905009
0.062000,0.803949296,-0.004109590,0.220184223,-0.002974518
0.063000,0.803516005,-0.004216232,0.221670947,-0.003044186
0.064000,0.803085717,-0.004323403,0.223170788,-0.003113997
0.065000,0.802658425,-0.004431073,0.224683734,-0.003183937
0.066000,0.802234118,-0.004539213,0.226209769,-0.003253990
0.067000,0.801812787,-0.004647795,0.227748874,-0.003324141
0.068000,0.801394420,-0.004756791,0.229301028,-0.003394376
0.069000,0.800979004,-0.004866173,0.230866206,-0.003464682
0.070000,0.800566528,-0.004975914,0.232444384,-0.003535044
0.071000,0.800156976,-0.005085987,0.234035530,-0.003605451
0.072000,0.799750335,-0.005196365,0.235639615,-0.003675888
0.073000,0.799346589,-0.005307021,0.237256605,-0.003746343
0.074000,0.798945721,-0.005417931,0.238886464,-0.003816805
0.075000,0.798547714,-0.005529067,0.240529154,-0.003887261
0.076000,0.798152551,-0.005640406,0.242184636,-0.003957699
0.077000,0.797760213,-0.005751923,0.243852867,-0.004028108
0.078000,0.797370681,-0.005863592,0.245533804,-0.004098478
0.079000,0.796983934,-0.005975391,0.247227402,-0.004168796
0.080000,0.796599953,-0.006087294,0.248933612,-0.004239054
0.081000,0.796218715,-0.006199279,0.250652385,-0.004309239
0.082000,0.795840199,-0.006311323,0.252383671,-0.004379342
0.083000,0.795464382,-0.006423403,0.254127417,-0.004449354
0.084000,0.795091241,-0.006535497,0.255883569,-0.004519264
0.085000,0.794720751,-0.006647582,0.257652071,-0.004589062
0.086000,0.794352888,-0.006759638,0.259432866,-0.004658741
0.087000,0.793987628,-0.006871643,0.261225895,-0.004728290
0.088000,0.793624943,-0.006983576,0.263031098,-0.004797701
0.089000,0.793264809,-0.007095416,0.264848414,-0.004866966
0.090000,0.792907197,-0.007207143,0.266677780,-0.004936074
0.091000,0.792552081,-0.007318737,0.268519132,-0.005005019
0.092000,0.792199433,-0.007430179,0.270372405,-0.005073792
0.093000,0.791849223,-0.007541450,0.272237533,-0.005142385
0.094000,0.791501423,-0.007652530,0.274114447,-0.005210791
0.095000,0.791156003,-0.007763401,0.276003079,-0.005279001
0.096000,0.790812934,-0.007874044,0.277903360,-0.005347007
0.097000,0.790472184,-0.007984442,0.279815218,-0.005414803
0.098000,0.790133722,-0.008094577,0.281738582,-0.005482382
0.099000,0.789797517,-0.008204432,0.283673378,-0.005549736
0.100000,0.789463537,-0.008313990,0.285619534,-0.005616857
0.101000,0.789131749,-0.008423233,0.287576973,-0.005683740
0.102000,0.788802120,-0.008532147,0.289545621,-0.005750377
0.103000,0.788474617,-0.008640714,0.291525401,-0.005816762
0.104000,0.788149207,-0.008748919,0.293516235,-0.005882889
0.105000,0.787825854,-0.008856747,0.295518046,-0.005948749
0.106000,0.787504524,-0.008964182,0.297530753,-0.006014339
0.107000,0.787185182,-0.009071209,0.299554279,-0.006079650
0.108000,0.786867792,-0.009177814,0.301588541,-0.006144678
0.109000,0.786552320,-0.009283984,0.303633458,-0.006209415
0.110000,0.786238727,-0.009389703,0.305688950,-0.006273857
0.111000,0.785926978,-0.009494958,0.307754932,-0.006337997
0.112000,0.785617035,-0.009599736,0.309831321,-0.006401829
0.113000,0.785308861,-0.009704023,0.311918035,-0.006465347
0.114000,0.785002419,-0.009807807,0.314014987,-0.006528547
0.115000,0.784697670,-0.009911076,0.316122093,-0.006591422
0.116000,0.784394575,-0.010013817,0.318239267,-0.006653967
0.117000,0.784093096,-0.010116017,0.320366423,-0.006716177
0.118000,0.783793194,-0.010217666,0.322503474,-0.006778046
0.119000,0.783494829,-0.010318752,0.324650331,-0.006839569
0.120000,0.783197961,-0.010419264,0.326806908,-0.006900740
0.121000,0.782902551,-0.010519190,0.328973115,-0.006961556
0.122000,0.782608557,-0.010618521,0.331148865,-0.007022009
0.123000,0.782315940,-0.010717245,0.333334066,-0.007082096
0.124000,0.782024657,-0.010815353,0.335528630,-0.007141812
0.125000,0.781734668,-0.010912835,0.337732466,-0.007201150
0.126000,0.781445931,-0.011009681,0.339945483,-0.007260108
0.127000,0.781158404,-0.011105882,0.342167589,-0.007318679
0.128000,0.780872045,-0.011201428,0.344398695,-0.007376860
0.129000,0.780586811,-0.011296311,0.346638706,-0.007434644
0.130000,0.780302661,-0.011390522,0.348887531,-0.007492028
0.131000,0.780019550,-0.011484052,0.351145078,-0.007549008
0.132000,0.779737435,-0.011576894,0.353411252,-0.007605577
0.133000,0.779456274,-0.011669039,0.355685961,-0.007661732
0.134000,0.779176023,-0.011760481,0.357969110,-0.007717469
0.135000,0.778896637,-0.011851210,0.360260606,-0.007772782
0.136000,0.778618072,-0.011941220,0.362560354,-0.007827667
0.137000,0.778340285,-0.012030504,0.364868259,-0.007882120
0.138000,0.778063230,-0.012119056,0.367184227,-0.007936137
0.139000,0.777786862,-0.012206867,0.369508161,-0.007989713
0.140000,0.777511137,-0.012293933,0.371839966,-0.008042844
0.141000,0.777236009,-0.012380247,0.374179546,-0.008095525
0.142000,0.776961434,-0.012465802,0.376526806,-0.008147752
0.143000,0.776687364,-0.012550594,0.378881648,-0.008199522
0.144000,0.776413755,-0.012634616,0.381243976,-0.008250829
0.145000,0.776140560,-0.012717863,0.383613693,-0.008301670
0.146000,0.775867734,-0.012800331,0.385990702,-0.008352041
0.147000,0.775595230,-0.012882013,0.388374906,-0.008401937
0.148000,0.775323001,-0.012962905,0.390766207,-0.008451354
0.149000,0.775051001,-0.013043003,0.393164507,-0.008500288
0.150000,0.774779182,-0.013122302,0.395569708,-0.008548736
0.151000,0.774507499,-0.013200799,0.397981713,-0.008596693
0.152000,0.774235903,-0.013278488,0.400400423,-0.008644155
0.153000,0.773964348,-0.013355366,0.402825738,-0.008691119
0.154000,0.773692786,-0.013431429,0.405257562,-0.008737579
0.155000,0.773421169,-0.013506674,0.407695794,-0.008783534
0.156000,0.773149450,-0.013581098,0.410140337,-0.008828977
0.157000,0.772877581,-0.013654697,0.412591090,-0.008873907
0.158000,0.772605514,-0.013727469,0.415047955,-0.008918318
0.159000,0.772333201,-0.013799410,0.417510832,-0.008962207
0.160000,0.772060594,-0.013870518,0.419979621,-0.009005570
0.161000,0.771787644,-0.013940790,0.422454224,-0.009048403
0.162000,0.771514303,-0.014010225,0.424934539,-0.009090703
0.163000,0.771240523,-0.014078819,0.427420468,-0.009132466
0.164000,0.770966255,-0.014146571,0.429911910,-0.009173688
0.165000,0.770691450,-0.014213478,0.432408766,-0.009214366
0.166000,0.770416059,-0.014279540,0.434910935,-0.009254495
0.167000,0.770140035,-0.014344755,0.437418316,-0.009294072
0.168000,0.769863327,-0.014409120,0.439930810,-0.009333094
0.169000,0.769585887,-0.014472635,0.442448316,-0.009371556
0.170000,0.769307665,-0.014535299,0.444970733,-0.009409456
0.171000,0.769028614,-0.014597110,0.447497962,-0.009446789
0.172000,0.768748682,-0.014658068,0.450029901,-0.009483552
0.173000,0.768467822,-0.014718172,0.452566450,-0.009519742
0.174000,0.768185984,-0.014777421,0.455107508,-0.009555354
0.175000,0.767903118,-0.014835815,0.457652974,-0.009590387
0.176000,0.767619175,-0.014893353,0.460202747,-0.009624835
0.177000,0.767334107,-0.014950035,0.462756728,-0.009658696
0.178000,0.767047862,-0.015005861,0.465314814,-0.009691965
0.179000,0.766760392,-0.015060832,0.467876904,-0.009724641
0.180000,0.766471648,-0.015114946,0.470442899,-0.009756719
0.181000,0.766181579,-0.015168204,0.473012697,-0.009788195
0.182000,0.765890137,-0.015220607,0.475586197,-0.009819068
