t,abduct_L.q,abduct_L.w,abduct_R.q,abduct_R.w,hip_L.q,hip_L.w,hip_R.q,hip_R.w
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.931151799969e-06,1.779527614818e-11,9.214851027489e-06,-2.021021885637e-11,-1.046537038502e-05,-9.770434128635e-11,-5.059381726901e-05,-9.780429360011e-11,-5.064557514417e-05
5.793455399906e-06,8.897638076219e-11,2.764455309349e-05,-1.010510943023e-10,-3.139611116565e-05,-4.885217063967e-10,-1.517814517889e-04,-4.890214679644e-10,-1.519367254138e-04
9.655758999844e-06,2.313385900754e-10,4.607425519256e-05,-2.627328452761e-10,-5.232685197809e-05,-1.270156436477e-09,-2.529690862543e-04,-1.271455816548e-09,-2.532278756272e-04
1.449970527552e-05,5.105007934624e-10,6.918804851586e-05,-5.797793006410e-10,-7.857734774729e-05,-2.802886745957e-09,-3.798745590919e-04,-2.805754121225e-09,-3.802631737603e-04
3.871943665389e-05,3.585741446123e-09,1.847570183899e-04,-4.072351483635e-09,-2.098298297256e-04,-1.968738761611e-08,-1.014401917915e-03,-1.970752796669e-08,-1.015439658894e-03
1.178341234878e-04,3.313605161183e-08,5.622676201011e-04,-3.763284335051e-08,-6.385712247421e-04,-1.819322968413e-07,-3.087109842243e-03,-1.821184147732e-07,-3.090267974062e-03
1.969488103217e-04,9.255300597240e-08,9.397785040356e-04,-1.051130871514e-07,-1.067312891126e-03,-5.081588260135e-07,-5.159817301816e-03,-5.086786750127e-07,-5.165095810040e-03
2.760634971556e-04,1.818366343514e-07,1.317289859680e-03,-2.065131115626e-07,-1.496055011073e-03,-9.983669260201e-07,-7.232523984596e-03,-9.993882580475e-07,-7.239922845095e-03
3.551781839895e-04,3.009869815636e-07,1.694801876519e-03,-3.418329596750e-07,-1.924797766781e-03,-1.652556523062e-06,-9.305229578541e-03,-1.654247087786e-06,-9.314748757494e-03
4.342928708234e-04,4.500041074145e-07,2.072314744036e-03,-5.110726889936e-07,-2.353541340443e-03,-2.470727518653e-06,-1.137793377161e-02,-2.473255062682e-06,-1.138957322551e-02
