f[Hz] Tamp[Nm]  max|q|[rad]   qmax      qmin      tumble(|q|>pi)
 0.30     0.05       1.9134   +0.1009   -1.9134   -
 0.30     0.10       2.0117   +0.2115   -2.0117   -
 0.30     0.15       2.1167   +0.3344   -2.1167   -
 0.30     0.20       2.2388   +0.4743   -2.2388   -
 0.30     0.25       2.4829   +0.6401   -2.4829   -
 0.30     0.30       2.7507   +0.8911   -2.7507   -
 0.30     0.35      39.6034   +1.1648  -39.6034   YES
 0.30     0.45      26.5150  +13.5910  -26.5150   YES
 0.40     0.05       1.9518   +0.1259   -1.9518   -
 0.40     0.10       2.0944   +0.2545   -2.0944   -
 0.40     0.15       2.2616   +0.3608   -2.2616   -
 0.40     0.20       2.4744   +0.3574   -2.4744   -
 0.40     0.25       2.7877   +0.4831   -2.7877   -
 0.40     0.30       9.6041   +8.1264   -9.6041   YES
 0.40     0.35      40.1201   +0.6497  -40.1201   YES
 0.40     0.45      40.6419   +1.1358  -40.6419   YES
 0.50     0.05       1.9547   +0.1544   -1.9547   -
 0.50     0.10       2.1185   +0.3211   -2.1185   -
 0.50     0.15       2.4236   +0.5738   -2.4236   -
 0.50     0.20       2.7396   +1.1030   -2.7396   -
 0.50     0.25      14.5155  +14.5155   -2.9506   YES
 0.50     0.30      19.8546   +0.0960  -19.8546   YES
 0.50     0.35      14.5703   +0.1968  -14.5703   YES
 0.50     0.45      33.4733   +0.4790  -33.4733   YES
 0.70     0.05       2.2357   +0.4274   -2.2357   -
 0.70     0.10       7.5991   +7.5991   -3.1331   YES
 0.70     0.15       7.2803   +7.2803   -2.8330   YES
 0.70     0.20       8.9942   +0.7666   -8.9942   YES
 0.70     0.25      10.0446   +1.5409  -10.0446   YES
 0.70     0.30       7.1431   +7.1431   -2.3529   YES
 0.70     0.35      31.7935  +31.7935   -2.7223   YES
 0.70     0.45      21.3741  +21.3741   -8.5962   YES
 0.90     0.05       1.6658   +0.0000   -1.6658   -
 0.90     0.10       2.9679   +1.0096   -2.9679   -
 0.90     0.15       2.9150   +1.5464   -2.9150   -
 0.90     0.20       3.0973   +1.6745   -3.0973   -
 0.90     0.25       3.6126   +1.3065   -3.6126   YES
 0.90     0.30      15.5264   +1.1679  -15.5264   YES
 0.90     0.35      40.4793  +40.4793   -2.1352   YES
 0.90     0.45       7.0454   +7.0454   -3.0406   YES
