part,volume_mm3,rho_kg_m3,density_basis,mass_kg,share_pct,cum_pct
电机_出轴,12342.448573,7850,steel fastener/shaft,0.096888221,32.707,32.707
腿部_腿杆_片状V5,32270.603518,2700,aluminium (FALLBACK),0.087130629,29.413,62.121
腿部_绑缚,24816.677452,1150,nylon/textile,0.028539179,9.634,71.755
腿部_滑块_双键,9666.572269,2700,aluminium (FALLBACK),0.026099745,8.811,80.566
腿部_滑轨_片形,6804.488072,2700,aluminium (FALLBACK),0.018372118,6.202,86.768
电机_片形腿杆连接件,6179.471248,2700,aluminium (FALLBACK),0.016684572,5.632,92.400
腿部_轴盖,3511.289548,2700,aluminium (FALLBACK),0.009480482,3.200,95.601
电机_黄铜轴套8_10_18,506.676063,8500,brass,0.004306747,1.454,97.054
电机_轴,1506.093040,2700,aluminium (FALLBACK),0.004066451,1.373,98.427
腿部_按键_双,844.458523,1200,polymer,0.001013350,0.342,98.769
腿部_平头螺丝_M3_8,84.823002,7850,steel fastener/shaft,0.000665861,0.225,98.994
腿部_滑轨挡片,220.052213,2700,aluminium (FALLBACK),0.000594141,0.201,99.195
腿部_埋头螺丝_M3_8,72.806410,7850,steel fastener/shaft,0.000571530,0.193,99.388
腿部_埋头螺丝_M3_6,58.669243,7850,steel fastener/shaft,0.000460554,0.155,99.543
腿部_螺丝_M3_4,56.548668,7850,steel fastener/shaft,0.000443907,0.150,99.693
腿部_法兰注塑螺母_M3_6.3_4.6_5.5,52.130332,7850,steel fastener/shaft,0.000409223,0.138,99.831
腿部_顶丝_M4_4,49.779583,7850,steel fastener/shaft,0.000390770,0.132,99.963
腿部设计_左-5,20.334885,2700,aluminium (FALLBACK),0.000054904,0.019,99.981
腿部设计_左-6,20.334885,2700,aluminium (FALLBACK),0.000054904,0.019,100.000
