part,volume_mm3,rho_kg_m3,density_basis,fallback,mass_kg,share_pct,cum_pct
电机_出轴,12342.448573,7850,steel output shaft (exact),,0.096888221,31.873,31.873
腿部_腿杆_片状V5,32270.603518,2700,aluminium (default),Y,0.087130629,28.663,60.536
腿部_绑缚,24816.677452,1150,nylon/textile,,0.028539179,9.388,69.924
腿部_滑块_双键,9666.572269,2700,aluminium (default),Y,0.026099745,8.586,78.510
腿部_滑轨_片形,6804.488072,2700,aluminium (default),Y,0.018372118,6.044,84.554
电机_片形腿杆连接件,6179.471248,2700,aluminium (default),Y,0.016684572,5.489,90.042
电机_轴,1506.093040,7850,steel shaft (exact),,0.011822830,3.889,93.932
腿部_轴盖,3511.289548,2700,aluminium (default),Y,0.009480482,3.119,97.051
电机_黄铜轴套8_10_18,506.676063,8500,brass bushing (exact),,0.004306747,1.417,98.467
腿部_按键_双,844.458523,1200,polymer,,0.001013350,0.333,98.801
腿部_平头螺丝_M3_8,84.823002,7850,steel fastener/shaft,,0.000665861,0.219,99.020
腿部_滑轨挡片,220.052213,2700,aluminium (default),Y,0.000594141,0.195,99.215
腿部_埋头螺丝_M3_8,72.806410,7850,steel fastener/shaft,,0.000571530,0.188,99.403
腿部_埋头螺丝_M3_6,58.669243,7850,steel fastener/shaft,,0.000460554,0.152,99.555
腿部_螺丝_M3_4,56.548668,7850,steel fastener/shaft,,0.000443907,0.146,99.701
腿部_法兰注塑螺母_M3_6.3_4.6_5.5,52.130332,7850,steel fastener/shaft,,0.000409223,0.135,99.835
腿部_顶丝_M4_4,49.779583,7850,steel fastener/shaft,,0.000390770,0.129,99.964
腿部设计_左-5,20.334885,2700,aluminium (default),Y,0.000054904,0.018,99.982
腿部设计_左-6,20.334885,2700,aluminium (default),Y,0.000054904,0.018,100.000
