idx,name,mass_kg,comx_mm,comy_mm,comz_mm,Ixx,Iyy,Izz,Ixy,Ixz,Iyz
1,,0.00617947124782,14.4591134293,14.9999933342,5.33469866949,0.409929205941,1.27936173817,1.49787324442,1.29202808155e-07,0.127947998912,7.78985353246e-07
2,,0.0248166774519,73.0568869731,-3.34076098458e-05,40.0569459694,34.5660690094,16.8367463763,20.2201415525,-0.00241405648696,0.00796972179393,-5.01809632003e-05
3,,0.00351128954761,20,14.9999999999,2.50519964864,0.285055189404,0.548931212593,0.813301487474,0,0,0
4,,0.000844458523275,-3.32510989691e-05,6.8722661258,-0.247949538485,0.0189602354633,0.0172579470171,0.0332452540056,0.000182695360262,-1.26513005387e-08,-1.01998413928e-08
5,,0.00680448807215,36.0001423526,0.0135275329583,4.12189029628,0.363657100538,3.17063742952,3.47623441966,-0.000171120579608,-2.59859696418e-06,-1.42826480321e-05
6,,0.032270603518,-29.0892608253,34.5209177602,166.801353824,302.337264791,310.864921143,65.9899827114,-83.6871941396,89.2444656567,27.6273341652
7,,0.00966657226947,36.0000112183,-7.26350700129e-06,-2.41820577566,1.21730379179,4.73064351185,5.740156573,1.0226388413e-07,-2.24376068426e-07,1.0787902086e-06
8,,2.03348847918e-05,87.2980428661,2.75099430979,43.999955636,0.000444909131286,4.66480975769e-05,0.000445024454835,-1.98663535151e-06,-3.08819082845e-09,3.61327137983e-08
9,,2.03348847918e-05,87.2980428661,2.75099430979,35.999955636,0.000444909131286,4.66480975769e-05,0.000445024454835,-1.98663535153e-06,-3.08819082896e-09,3.61327137875e-08
10,,8.48230016469e-05,0,0,5.5,0.000781078473499,0.000781078473499,0.000190851753706,0,0,0
11,,0.0123424485733,-0.082235604483,-26.8453387272,10.5651517371,8.16236009123,3.50118566308,7.95519490161,2.26088182397,0.0237849359087,-0.0250414481761
12,,5.8669242843e-05,0,0,3.69246988014,0.000263621261086,0.000263621261086,0.000121667993115,0,0,0
13,,4.97795827891e-05,0,0,2,0.000114560228607,0.000114560228607,9.87115555043e-05,0,0,0
14,,7.28064097926e-05,0,0,4.78131068066,0.000527131264346,0.000527131264346,0.000137572305935,0,0,0
15,,0.00150609303966,0,0,9.79477831479,0.125686589541,0.124987547933,0.0116277162109,0,0,-1.09369227908e-08
16,,0.000220052212555,7.5,4,1,0.0012908658165,0.004364446533,0.00550861087446,0,0,0
17,,5.65486677646e-05,0,0,3.25,0.000207934163759,0.000207934163759,0.000159043128088,0,0,0
18,,0.000506676063053,0,0,9,0.0187538755694,0.0187538755694,0.0103861354707,0,0,0
19,,5.21303318566e-05,0,0,2.72826439109,0.000281258656361,0.000281258656361,0.000163228144193,0,0,0
