part,mass_kg,volume_mm3,density_g_cm3,com_x_mm,com_y_mm,com_z_mm,Ixx_kgmm2,Iyy_kgmm2,Izz_kgmm2,Ixy_kgmm2,Ixz_kgmm2,Iyz_kgmm2,Ixx_mm5,Iyy_mm5,Izz_mm5,step
电机_出轴,0.012342448573271117,12342.448573271116,1.0,-0.08223560448302512,-26.845338727177033,10.565151737127154,8.162360091232161,3.5011856630828113,7.955194901606294,2.260881823974346,0.023784935908719333,-0.025041448176103324,8162360.091232161,3501185.663082811,7955194.901606294,电机_出轴_Default_sldprt.STEP
电机_片形腿杆连接件,0.006179471247823381,6179.471247823381,1.0,14.459113429321064,14.999993334221891,5.334698669487527,0.40992920594119947,1.2793617381681275,1.4978732444192113,1.2920280815524064e-07,0.12794799891205244,7.789853532458429e-07,409929.20594119944,1279361.7381681274,1497873.2444192113,电机_片形腿杆连接件_Default_sldprt.STEP
电机_轴,0.0015060930396556865,1506.0930396556864,1.0,0.0,0.0,9.794778314794463,0.12568658954112982,0.12498754793345405,0.011627716210851003,0.0,0.0,-1.093692279075628e-08,125686.58954112983,124987.54793345406,11627.716210851004,电机_轴_Default_sldprt.STEP
电机_黄铜轴套8_10_18,0.0005066760630534334,506.67606305343344,1.0,0.0,0.0,8.999999999999996,0.018753875569403368,0.018753875569403368,0.010386135470672872,0.0,0.0,0.0,18753.875569403368,18753.875569403368,10386.135470672873,电机_黄铜轴套8_10_18_Default_sldprt.STEP
腿部_埋头螺丝_M3_6,5.8669242843005684e-05,58.669242843005684,1.0,0.0,0.0,3.6924698801395293,0.0002636212610860767,0.0002636212610860767,0.000121667993114625,0.0,0.0,0.0,263.6212610860767,263.6212610860767,121.667993114625,腿部_埋头螺丝_M3_6_Default_sldprt.STEP
腿部_埋头螺丝_M3_8,7.280640979261799e-05,72.806409792618,1.0,0.0,0.0,4.781310680655874,0.0005271312643456915,0.0005271312643456915,0.0001375723059348419,0.0,0.0,0.0,527.1312643456915,527.1312643456915,137.5723059348419,腿部_埋头螺丝_M3_8_Default_sldprt.STEP
腿部_平头螺丝_M3_8,8.482300164692439e-05,84.82300164692438,1.0,0.0,0.0,5.499999999999999,0.0007810784734987622,0.0007810784734987622,0.00019085175370557982,0.0,0.0,0.0,781.0784734987622,781.0784734987622,190.85175370557982,腿部_平头螺丝_M3_8_Default_sldprt.STEP
腿部_按键_双,0.0008444585232748409,844.4585232748409,1.0,-3.325109896909786e-05,6.872266125801461,-0.24794953848462317,0.018960235463315066,0.017257947017067184,0.033245254005629256,0.00018269536026192535,-1.2651300538677219e-08,-1.0199841392794667e-08,18960.235463315064,17257.94701706718,33245.25400562926,腿部_按键_双_Default_sldprt.STEP
腿部_法兰注塑螺母_M3_6.3_4.6_5.5,5.213033185660757e-05,52.130331856607576,1.0,0.0,0.0,2.7282643910905406,0.000281258656360961,0.000281258656360961,0.00016322814419279517,0.0,0.0,0.0,281.258656360961,281.258656360961,163.22814419279518,腿部_法兰注塑螺母_M3_6.3_4.6_5.5_Default_sldprt.STEP
腿部_滑块_双键,0.009666572269472403,9666.572269472403,1.0,36.00001121834065,-7.263507001292568e-06,-2.418205775655882,1.2173037917946061,4.730643511851012,5.740156572997396,1.0226388413004454e-07,-2.2437606842554277e-07,1.0787902085986808e-06,1217303.791794606,4730643.511851013,5740156.572997396,腿部_滑块_双键_Default_sldprt.STEP
