group,part,material,mass_kg,cx_mm,cy_mm,cz_mm,Ixx_com,Iyy_com,Izz_com,Ixy_com,Ixz_com,Iyz_com,Ixx_O,Iyy_O,Izz_O,Ixy_O,Ixz_O,Iyz_O,note
leg_R,电机_出轴,steel_7850,0.096900,,,,,,,,,,,,,,,,,cyl_r22; check I_axis≈(1/2)mr^2
leg_R,腿部_腿杆_片状V5,alu_2700,0.087000,,,,,,,,,,,,,,,,,
leg_R,腿部_绑缚,nylon_1150,0.028500,,,,,,,,,,,,,,,,,
leg_R,腿部_滑块_双键,alu_2700,0.026100,,,,,,,,,,,,,,,,,
leg_R,腿部_滑轨_片形,alu_2700,0.018400,,,,,,,,,,,,,,,,,
leg_R,电机_片形腿杆连接件,alu_2700,0.016700,,,,,,,,,,,,,,,,,
leg_R,腿部_轴盖,alu_2700,0.009500,,,,,,,,,,,,,,,,,
leg_R,电机_黄铜轴套8_10_18,brass_8500,0.004300,,,,,,,,,,,,,,,,,
leg_R,电机_轴,alu_2700,0.004100,,,,,,,,,,,,,,,,,
leg_R,腿部_平头螺丝_M3_8,steel_7850,0.002700,,,,,,,,,,,,,,,,,x4
leg_R,腿部_埋头螺丝_M3_8,steel_7850,0.002300,,,,,,,,,,,,,,,,,x4
leg_R,腿部_按键_双,plastic_1200,0.002000,,,,,,,,,,,,,,,,,x2
leg_R,(其余小件请补齐),,0.006300,,,,,,,,,,,,,,,,,差额=组合计-以上之和
leg_L,电机_出轴,steel_7850,0.096900,,,,,,,,,,,,,,,,,
leg_L,腿部_腿杆_片状V5,alu_2700,0.087000,,,,,,,,,,,,,,,,,
leg_L,腿部_绑缚,nylon_1150,0.028500,,,,,,,,,,,,,,,,,
leg_L,腿部_滑块_双键,alu_2700,0.026100,,,,,,,,,,,,,,,,,
leg_L,腿部_滑轨_片形,alu_2700,0.018400,,,,,,,,,,,,,,,,,
leg_L,电机_片形腿杆连接件,alu_2700,0.016700,,,,,,,,,,,,,,,,,
leg_L,腿部_轴盖,alu_2700,0.009500,,,,,,,,,,,,,,,,,
leg_L,电机_黄铜轴套8_10_18,brass_8500,0.004300,,,,,,,,,,,,,,,,,
leg_L,电机_轴,alu_2700,0.004100,,,,,,,,,,,,,,,,,
leg_L,腿部_平头螺丝_M3_8,steel_7850,0.002700,,,,,,,,,,,,,,,,,x4
leg_L,腿部_埋头螺丝_M3_8,steel_7850,0.002300,,,,,,,,,,,,,,,,,x4
leg_L,腿部_按键_双,plastic_1200,0.002000,,,,,,,,,,,,,,,,,x2
leg_L,(其余小件请补齐),,0.006300,,,,,,,,,,,,,,,,,差额=组合计-以上之和
motor_R,电机本体合计,,0.392800,,,,,,,,,,,,,,,,,
motor_L,电机本体合计,,0.355700,,,,,,,,,,,,,,,,,
back,躯干合计(腰带+背板+电池+主机),,1.955800,,,,,,,,,,,,,,,,,
